Feature,Coefficient,Abs_Coefficient
late_payment_history_Sometimes,1.9440597503475237,1.9440597503475237
late_payment_history_Never,-1.9091473762130442,1.9091473762130442
loan_amount_bdt,1.7408517777881323,1.7408517777881323
cashflow_stability,-1.1903146277716383,1.1903146277716383
collateral_level_Low,1.1117248816245964,1.1117248816245964
monthly_profit_bdt,-0.9844420118688716,0.9844420118688716
monthly_revenue_bdt,-0.853129980981105,0.853129980981105
prior_loan_count,0.722414074232686,0.722414074232686
sector_Agriculture,0.6044629966564167,0.6044629966564167
collateral_level_Moderate,-0.6041892811819078,0.6041892811819078
days_payable_outstanding,0.5199751044304584,0.5199751044304584
collateral_level_High,-0.5044587080171645,0.5044587080171645
location_type_Rural,0.47784435250803453,0.47784435250803453
location_type_Urban,-0.4747674600825442,0.4747674600825442
owner_education_Higher Secondary,0.44046309762228514,0.44046309762228514
business_age_years,-0.4018805147152545,0.4018805147152545
sector_Retail,-0.3876929787762016,0.3876929787762016
division_Khulna,0.3326538108248008,0.3326538108248008
loan_purpose_Inventory,-0.33081810727796607,0.33081810727796607
sector_Services,-0.3292591560781431,0.3292591560781431
division_Sylhet,-0.29314617444204294,0.29314617444204294
loan_purpose_Working capital,0.27481986780277057,0.27481986780277057
existing_loans_Yes,0.259686224164861,0.259686224164861
existing_loans_No,-0.25660933173934775,0.25660933173934775
employees_count,-0.22379514507257622,0.22379514507257622
division_Rangpur,-0.2129520610892494,0.2129520610892494
owner_education_Bachelor's,-0.16776099163154268,0.16776099163154268
repayment_confidence,0.12706364968084458,0.12706364968084458
sector_Manufacturing,0.11556603062341644,0.11556603062341644
owner_education_Master's,-0.11341374023396526,0.11341374023396526
owner_education_Secondary,-0.1006308179778087,0.1006308179778087
division_Chittagong,0.08173327807484546,0.08173327807484546
loan_purpose_Renovation,0.06670394178638583,0.06670394178638583
preferred_tenure_months,0.06304816054828273,0.06304816054828273
division_Rajshahi,0.061440416956825394,0.061440416956825394
owner_education_Primary,-0.05558065535345,0.05558065535345
legal_status_Sole,0.05315498952486839,0.05315498952486839
division_Barisal,0.03530721443119085,0.03530721443119085
legal_status_Partnership,-0.03390524147202135,0.03390524147202135
loan_purpose_Expansion,-0.03298789883461532,0.03298789883461532
late_payment_history_Rarely,-0.031835481709063945,0.031835481709063945
loan_purpose_Equipment,0.025359088948913127,0.025359088948913127
legal_status_Limited,-0.016172855627349818,0.016172855627349818
division_Dhaka,-0.0019595923308691845,0.0019595923308691845
